id,label
7000,2
7001,3
7002,3
7003,6
7004,3
7005,6
7006,2
7007,2
7008,4
7009,0
7010,2
7011,2
7012,6
7013,2
7014,3
7015,3
7016,5
7017,4
7018,2
7019,3
7020,3
7021,3
7022,4
7023,6
7024,4
7025,5
7026,3
7027,4
7028,2
7029,6
7030,0
7031,3
7032,3
7033,2
7034,6
7035,0
7036,2
7037,4
7038,5
7039,6
7040,2
7041,5
7042,5
7043,5
7044,6
7045,0
7046,5
7047,3
7048,3
7049,4
7050,3
7051,3
7052,0
7053,5
7054,4
7055,4
7056,3
7057,5
7058,3
7059,3
7060,4
7061,2
7062,6
7063,6
7064,3
7065,5
7066,0
7067,2
7068,2
7069,6
7070,0
7071,3
7072,3
7073,3
7074,0
7075,6
7076,4
7077,5
7078,2
7079,6
7080,5
7081,3
7082,6
7083,2
7084,5
7085,6
7086,2
7087,0
7088,4
7089,6
7090,6
7091,2
7092,6
7093,0
7094,3
7095,0
7096,6
7097,0
7098,0
7099,5
7100,6
7101,3
7102,0
7103,0
7104,6
7105,3
7106,4
7107,6
7108,0
7109,4
7110,4
7111,3
7112,3
7113,5
7114,4
7115,3
7116,3
7117,0
7118,5
7119,2
7120,6
7121,3
7122,4
7123,6
7124,5
7125,6
7126,6
7127,5
7128,4
7129,0
7130,2
7131,6
7132,6
7133,2
7134,6
7135,3
7136,3
7137,3
7138,4
7139,4
7140,5
7141,0
7142,6
7143,2
7144,6
7145,3
7146,6
7147,3
7148,3
7149,3
7150,3
7151,6
7152,2
7153,3
7154,6
7155,3
7156,3
7157,5
7158,0
7159,2
7160,6
7161,4
7162,4
7163,4
7164,2
7165,3
7166,0
7167,3
7168,6
7169,3
7170,5
7171,4
7172,2
7173,5
7174,5
7175,5
7176,3
7177,3
7178,5
7179,3
7180,0
7181,3
7182,3
7183,0
7184,2
7185,0
7186,3
7187,5
7188,3
7189,6
7190,6
7191,5
7192,4
7193,6
7194,6
7195,3
7196,0
7197,0
7198,6
7199,2
7200,3
7201,0
7202,6
7203,3
7204,0
7205,6
7206,0
7207,6
7208,0
7209,6
7210,3
7211,2
7212,3
7213,3
7214,2
7215,6
7216,5
7217,3
7218,3
7219,6
7220,4
7221,3
7222,2
7223,2
7224,0
7225,2
7226,0
7227,2
7228,4
7229,4
7230,0
7231,6
7232,4
7233,4
7234,6
7235,4
7236,4
7237,0
7238,6
7239,0
7240,6
7241,2
7242,4
7243,2
7244,0
7245,4
7246,3
7247,0
7248,3
7249,3
7250,0
7251,3
7252,0
7253,4
7254,2
7255,4
7256,3
7257,2
7258,6
7259,2
7260,3
7261,6
7262,5
7263,5
7264,6
7265,0
7266,4
7267,6
7268,4
7269,6
7270,4
7271,4
7272,2
7273,0
7274,3
7275,3
7276,0
7277,5
7278,3
7279,3
7280,3
7281,3
7282,6
7283,5
7284,4
7285,5
7286,3
7287,2
7288,2
7289,0
7290,4
7291,4
7292,3
7293,4
7294,3
7295,3
7296,6
7297,4
7298,4
7299,2
7300,0
7301,4
7302,4
7303,0
7304,6
7305,0
7306,2
7307,5
7308,0
7309,0
7310,3
7311,2
7312,6
7313,3
7314,5
7315,4
7316,4
7317,3
7318,3
7319,0
7320,3
7321,6
7322,4
7323,2
7324,2
7325,3
7326,6
7327,0
7328,6
7329,4
7330,5
7331,2
7332,0
7333,4
7334,6
7335,4
7336,3
7337,6
7338,5
7339,4
7340,6
7341,2
7342,2
7343,3
7344,0
7345,4
7346,4
7347,3
7348,3
7349,3
7350,2
7351,3
7352,5
7353,5
7354,4
7355,5
7356,4
7357,3
7358,3
7359,6
7360,3
7361,4
7362,0
7363,2
7364,4
7365,3
7366,6
7367,0
7368,3
7369,6
7370,2
7371,0
7372,0
7373,3
7374,4
7375,3
7376,3
7377,6
7378,0
7379,4
7380,6
7381,6
7382,3
7383,3
7384,0
7385,3
7386,0
7387,3
7388,5
7389,6
7390,6
7391,3
7392,2
7393,2
7394,6
7395,4
7396,3
7397,6
7398,6
7399,5
7400,0
7401,2
7402,5
7403,0
7404,5
7405,3
7406,6
7407,3
7408,2
7409,6
7410,3
7411,6
7412,3
7413,6
7414,4
7415,4
7416,4
7417,3
7418,5
7419,6
7420,4
7421,4
7422,4
7423,3
7424,3
7425,3
7426,3
7427,3
7428,4
7429,0
7430,3
7431,6
7432,0
7433,3
7434,0
7435,2
7436,2
7437,0
7438,3
7439,6
7440,2
7441,2
7442,2
7443,0
7444,2
7445,6
7446,3
7447,0
7448,0
7449,6
7450,4
7451,6
7452,3
7453,2
7454,6
7455,3
7456,3
7457,6
7458,3
7459,3
7460,5
7461,6
7462,0
7463,5
7464,4
7465,6
7466,6
7467,6
7468,5
7469,4
7470,4
7471,3
7472,2
7473,4
7474,0
7475,3
7476,6
7477,5
7478,6
7479,3
7480,2
7481,5
7482,0
7483,5
7484,3
7485,4
7486,4
7487,2
7488,0
7489,3
7490,3
7491,5
7492,6
7493,2
7494,0
7495,2
7496,3
7497,4
7498,2
7499,0
7500,3
7501,6
7502,2
7503,4
7504,4
7505,3
7506,0
7507,3
7508,5
7509,6
7510,0
7511,6
7512,3
7513,3
7514,3
7515,5
7516,4
7517,3
7518,3
7519,3
7520,3
7521,4
7522,3
7523,6
7524,6
7525,0
7526,4
7527,4
7528,3
7529,2
7530,3
7531,4
7532,0
7533,4
7534,2
7535,2
7536,6
7537,4
7538,6
7539,4
7540,5
7541,4
7542,6
7543,6
7544,4
7545,6
7546,6
7547,3
7548,6
7549,0
7550,3
7551,5
7552,0
7553,6
7554,2
7555,3
7556,5
7557,4
7558,3
7559,4
7560,6
7561,3
7562,3
7563,6
7564,4
7565,0
7566,6
7567,2
7568,4
7569,6
7570,0
7571,3
7572,4
7573,4
7574,0
7575,5
7576,2
7577,0
7578,3
7579,0
7580,0
7581,2
7582,3
7583,3
7584,6
7585,3
7586,2
7587,3
7588,2
7589,6
7590,3
7591,2
7592,5
7593,2
7594,5
7595,3
7596,5
7597,6
7598,0
7599,3
7600,3
7601,5
7602,3
7603,4
7604,6
7605,6
7606,5
7607,3
7608,3
7609,5
7610,0
7611,4
7612,3
7613,6
7614,3
7615,4
7616,3
7617,6
7618,2
7619,5
7620,3
7621,3
7622,3
7623,3
7624,2
7625,3
7626,4
7627,6
7628,4
7629,4
7630,5
7631,4
7632,2
7633,6
7634,2
7635,2
7636,0
7637,5
7638,6
7639,3
7640,5
7641,4
7642,3
7643,6
7644,3
7645,0
7646,3
7647,6
7648,6
7649,4
7650,6
7651,4
7652,3
7653,3
7654,2
7655,4
7656,0
7657,1
7658,3
7659,3
7660,0
7661,0
7662,3
7663,6
7664,4
7665,6
7666,4
7667,2
7668,6
7669,2
7670,6
7671,3
7672,2
7673,2
7674,5
7675,4
7676,3
7677,6
7678,2
7679,2
7680,6
7681,2
7682,0
7683,2
7684,3
7685,6
7686,4
7687,3
7688,5
7689,6
7690,0
7691,3
7692,0
7693,5
7694,2
7695,2
7696,6
7697,5
7698,3
7699,5
7700,3
7701,4
7702,3
7703,4
7704,4
7705,6
7706,6
7707,6
7708,2
7709,6
7710,0
7711,5
7712,0
7713,3
7714,0
7715,5
7716,5
7717,5
7718,6
7719,6
7720,0
7721,0
7722,5
7723,6
7724,4
7725,2
7726,4
7727,0
7728,3
7729,2
7730,3
7731,3
7732,3
7733,3
7734,3
7735,0
7736,3
7737,5
7738,5
7739,0
7740,6
7741,4
7742,4
7743,6
7744,2
7745,5
7746,6
7747,4
7748,4
7749,4
7750,4
7751,5
7752,3
7753,4
7754,4
7755,6
7756,6
7757,5
7758,5
7759,3
7760,4
7761,3
7762,3
7763,6
7764,6
7765,3
7766,2
7767,2
7768,6
7769,3
7770,0
7771,6
7772,2
7773,5
7774,3
7775,0
7776,6
7777,5
7778,5
7779,4
7780,3
7781,3
7782,6
7783,5
7784,6
7785,4
7786,4
7787,0
7788,4
7789,6
7790,3
7791,3
7792,5
7793,4
7794,0
7795,5
7796,5
7797,6
7798,5
7799,0
7800,6
7801,3
7802,3
7803,0
7804,0
7805,0
7806,5
7807,3
7808,6
7809,6
7810,6
7811,3
7812,3
7813,5
7814,4
7815,3
7816,0
7817,3
7818,0
7819,3
7820,3
7821,3
7822,2
7823,6
7824,6
7825,4
7826,6
7827,0
7828,3
7829,4
7830,3
7831,6
7832,3
7833,4
7834,6
7835,0
7836,6
7837,6
7838,6
7839,3
7840,2
7841,3
7842,3
7843,3
7844,2
7845,4
7846,6
7847,0
7848,5
7849,6
7850,6
7851,4
7852,5
7853,0
7854,3
7855,6
7856,6
7857,4
7858,2
7859,4
7860,4
7861,3
7862,4
7863,2
7864,2
7865,2
7866,0
7867,3
7868,3
7869,6
7870,6
7871,5
7872,6
7873,2
7874,3
7875,5
7876,0
7877,4
7878,4
7879,3
7880,2
7881,3
7882,3
7883,4
7884,5
7885,6
7886,6
7887,3
7888,3
7889,3
7890,2
7891,6
7892,3
7893,2
7894,2
7895,3
7896,4
7897,3
7898,6
7899,4
7900,3
7901,3
7902,6
7903,2
7904,3
7905,6
7906,0
7907,0
7908,3
7909,2
7910,5
7911,3
7912,6
7913,6
7914,2
7915,3
7916,6
7917,6
7918,6
7919,0
7920,3
7921,0
7922,0
7923,3
7924,4
7925,6
7926,2
7927,3
7928,6
7929,3
7930,6
7931,3
7932,5
7933,5
7934,3
7935,4
7936,4
7937,6
7938,5
7939,4
7940,0
7941,0
7942,2
7943,3
7944,0
7945,0
7946,5
7947,6
7948,2
7949,5
7950,5
7951,4
7952,6
7953,6
7954,2
7955,3
7956,6
7957,6
7958,3
7959,2
7960,3
7961,0
7962,2
7963,0
7964,3
7965,2
7966,0
7967,0
7968,4
7969,6
7970,2
7971,6
7972,6
7973,4
7974,0
7975,6
7976,0
7977,6
7978,0
7979,3
7980,4
7981,4
7982,5
7983,5
7984,5
7985,2
7986,6
7987,4
7988,5
7989,6
7990,4
7991,6
7992,3
7993,5
7994,2
7995,2
7996,5
7997,3
7998,6
7999,0
8000,3
8001,6
8002,3
8003,6
8004,0
8005,2
8006,0
8007,0
8008,0
8009,3
8010,5
8011,2
8012,4
8013,3
8014,3
8015,6
8016,5
8017,4
8018,2
8019,5
8020,2
8021,3
8022,3
8023,3
8024,6
8025,5
8026,2
8027,3
8028,0
8029,3
8030,4
8031,6
8032,6
8033,6
8034,0
8035,4
8036,3
8037,3
8038,4
8039,3
8040,3
8041,3
8042,6
8043,3
8044,3
8045,6
8046,3
8047,4
8048,3
8049,4
8050,6
8051,4
8052,0
8053,3
8054,6
8055,4
8056,3
8057,0
8058,3
8059,3
8060,6
8061,5
8062,6
8063,2
8064,5
8065,3
8066,4
8067,3
8068,5
8069,2
8070,3
8071,0
8072,0
8073,3
8074,6
8075,3
8076,4
8077,5
8078,3
8079,6
8080,3
8081,4
8082,2
8083,3
8084,0
8085,0
8086,6
8087,3
8088,0
8089,3
8090,6
8091,0
8092,2
8093,0
8094,2
8095,4
8096,5
8097,0
8098,5
8099,3
8100,4
8101,0
8102,0
8103,5
8104,2
8105,0
8106,0
8107,3
8108,2
8109,3
8110,6
8111,3
8112,0
8113,6
8114,3
8115,4
8116,4
8117,3
8118,4
8119,3
8120,2
8121,2
8122,4
8123,3
8124,4
8125,0
8126,6
8127,3
8128,3
8129,6
8130,6
8131,4
8132,4
8133,4
8134,0
8135,5
8136,3
8137,0
8138,6
8139,5
8140,0
8141,6
8142,4
8143,3
8144,6
8145,0
8146,5
8147,3
8148,3
8149,6
8150,5
8151,5
8152,5
8153,2
8154,6
8155,0
8156,2
8157,6
8158,3
8159,2
8160,2
8161,4
8162,5
8163,4
8164,4
8165,2
8166,3
8167,3
8168,0
8169,6
8170,6
8171,6
8172,3
8173,6
8174,4
8175,2
8176,4
8177,4
8178,5
8179,0
8180,3
8181,5
8182,2
8183,6
8184,6
8185,0
8186,0
8187,5
8188,0
8189,6
8190,0
8191,5
8192,6
8193,5
8194,6
8195,3
8196,3
8197,2
8198,0
8199,0
8200,0
8201,6
8202,4
8203,3
8204,0
8205,3
8206,6
8207,4
8208,1
8209,3
8210,3
8211,0
8212,0
8213,4
8214,4
8215,5
8216,2
8217,6
8218,6
8219,4
8220,2
8221,2
8222,0
8223,3
8224,5
8225,6
8226,3
8227,0
8228,4
8229,2
8230,0
8231,0
8232,3
8233,6
8234,6
8235,5
8236,6
8237,5
8238,5
8239,0
8240,0
8241,3
8242,3
8243,3
8244,6
8245,4
8246,3
8247,3
8248,0
8249,5
8250,6
8251,0
8252,6
8253,3
8254,2
8255,6
8256,6
8257,2
8258,4
8259,4
8260,4
8261,3
8262,6
8263,4
8264,2
8265,5
8266,0
8267,3
8268,4
8269,0
8270,4
8271,4
8272,2
8273,0
8274,2
8275,3
8276,3
8277,4
8278,2
8279,2
8280,0
8281,3
8282,3
8283,0
